Product_Name,Category,Last_Observed_Month_Idx,Last_Observed_Month_Name,n_months_present,is_balanced,Forecast_Month_Idx,Baseline_Min_Price,Baseline_Avg_Price,Baseline_Max_Price,RF_Predicted_Min_Price,RF_Predicted_Avg_Price,RF_Predicted_Max_Price,LightGBM_Predicted_Min_Price,LightGBM_Predicted_Avg_Price,LightGBM_Predicted_Max_Price
Akabary_Chilly,vegetable,10,baishakh,5,False,11,300.0,439.77,500.0,303.64,368.65,426.88,312.79,419.58,512.48
Amala,fruit,10,baishakh,9,False,11,80.0,135.0,150.0,114.25,131.23,146.14,141.63,161.36,212.43
Apple,fruit,10,baishakh,10,True,11,225.0,255.0,330.0,224.94,271.7,345.34,241.33,287.58,338.94
Apple_Fuji,fruit,10,baishakh,7,False,11,270.0,300.0,330.0,287.11,308.21,325.83,300.39,315.35,337.28
Arum,vegetable,10,baishakh,10,True,11,60.0,69.09,80.0,71.19,78.15,90.66,61.84,64.73,83.85
Avocado,fruit,10,baishakh,10,True,11,300.0,721.43,1000.0,348.07,414.43,473.97,419.26,522.06,558.2
Bakula,vegetable,10,baishakh,4,False,11,80.0,100.91,120.0,89.89,106.9,131.03,80.65,99.35,129.76
Bambooshoot,vegetable,10,baishakh,7,False,11,60.0,65.0,70.0,60.06,67.72,75.52,52.68,60.34,69.78
Banana,fruit,10,baishakh,7,False,11,100.0,130.45,150.0,99.67,122.84,147.2,110.21,138.01,193.82
Banana_Green,fruit,10,baishakh,10,True,11,180.0,194.91,230.0,120.63,156.77,198.29,149.82,163.32,230.13
Barela,vegetable,10,baishakh,9,False,11,80.0,99.55,120.0,83.26,103.37,119.39,82.92,102.04,123.72
Bayar,fruit,10,baishakh,7,False,11,100.0,110.0,120.0,90.7,99.84,109.2,89.82,100.85,114.07
Beat_Chukunder,vegetable,10,baishakh,10,True,11,80.0,100.0,120.0,81.01,101.32,120.56,77.0,97.58,125.9
Bitter_Gourd,vegetable,10,baishakh,10,True,11,130.0,172.5,220.0,78.14,115.68,162.41,39.54,57.12,79.3
Bottle_Gourd,vegetable,10,baishakh,10,True,11,80.0,102.73,120.0,71.0,94.59,120.83,57.37,84.77,101.13
Brinjal_Gland,vegetable,7,magh,4,False,8,80.0,107.89,120.0,76.08,90.61,105.15,82.35,96.73,119.98
Brinjal_Long,vegetable,10,baishakh,10,True,11,80.0,90.0,100.0,72.1,91.5,110.99,60.24,73.52,94.21
Broad_Leaf_Mustard,vegetable,10,baishakh,10,True,11,40.0,101.36,120.0,56.76,83.49,108.47,55.22,77.16,105.43
Broccoli,vegetable,10,baishakh,9,False,11,50.0,113.86,200.0,75.43,107.22,131.96,70.16,108.36,151.82
Cabbage,vegetable,10,baishakh,10,True,11,25.0,37.73,60.0,42.07,56.51,80.51,26.19,47.3,84.54
Cabbage_Red,vegetable,10,baishakh,10,True,11,60.0,90.23,200.0,93.19,124.52,169.76,67.51,121.95,146.81
Carrot,vegetable,10,baishakh,10,True,11,30.0,45.91,60.0,44.92,63.01,82.04,25.23,47.2,65.36
Cauliflower_Hill,vegetable,10,baishakh,10,True,11,15.0,78.86,120.0,48.66,67.27,99.93,44.16,76.29,104.09
Chilly_Green,vegetable,10,baishakh,10,True,11,130.0,174.32,220.0,91.97,125.15,168.96,63.7,95.9,129.13
Christophine,vegetable,10,baishakh,10,True,11,60.0,65.0,70.0,62.38,73.55,83.49,59.12,59.12,69.04
Coconut,fruit,10,baishakh,10,True,11,150.0,155.0,160.0,147.65,156.05,169.4,143.68,155.41,167.57
Coriander_Green,vegetable,10,baishakh,10,True,11,30.0,102.05,250.0,87.33,145.29,221.47,94.45,191.28,299.19
Cow_Pea,vegetable,10,baishakh,10,True,11,130.0,166.67,200.0,81.35,117.17,157.69,65.43,118.13,141.74
Cress_Leaf,vegetable,10,baishakh,9,False,11,,47.5,,124.39,156.69,172.28,129.13,151.57,182.33
Cucumber,vegetable,10,baishakh,10,True,11,40.0,71.82,100.0,45.08,79.86,124.73,44.26,91.39,123.39
Dragon_Fruits,fruit,10,baishakh,10,True,11,300.0,325.0,350.0,269.09,321.27,372.87,282.24,371.57,441.46
Fenugreek_Leaf,vegetable,10,baishakh,8,False,11,,47.5,,123.98,157.11,170.56,129.81,147.37,173.25
French_Bean,vegetable,10,baishakh,10,True,11,60.0,117.95,150.0,59.87,98.07,140.72,60.59,104.34,137.97
Garlic_Dry,vegetable,10,baishakh,8,False,11,,135.0,,137.87,152.21,179.35,69.23,97.38,120.15
Garlic_Green,vegetable,10,baishakh,10,True,11,60.0,70.0,80.0,81.55,91.71,114.74,85.57,95.73,95.73
Ginger,vegetable,10,baishakh,10,True,11,80.0,103.18,120.0,79.46,105.24,132.19,78.6,107.34,128.48
Grapes,fruit,10,baishakh,10,True,11,,230.0,,169.1,200.13,236.28,140.76,171.62,206.38
Green_Peas,vegetable,10,baishakh,9,False,11,50.0,96.36,130.0,72.55,91.14,110.19,89.66,101.93,115.57
Green_Ve,vegetable,10,baishakh,9,False,11,,47.5,,103.0,117.41,128.32,112.43,133.08,133.08
Guava,fruit,10,baishakh,10,True,11,100.0,163.18,200.0,121.92,140.83,158.61,153.02,153.02,186.57
Gundruk,vegetable,10,baishakh,9,False,11,300.0,300.0,300.0,296.95,310.11,327.3,317.74,332.48,337.23
Haluwabed,fruit,10,baishakh,8,False,11,300.0,300.0,300.0,285.28,298.22,308.65,305.56,305.56,305.56
