Product_Name,Mean_Price_Spread,Price_Spread_STD,Months,RF_Mean_MAE,LightGBM_Mean_MAE
Akabary_Chilly,320.0,216.79483388678798,5,,
Coriander_Green,305.4,186.58819779277457,10,32.25666666666667,28.91333333333334
Cabbage_Red,204.0,127.03455347966465,10,80.03,11.86
Kiwi,160.0,171.26976771553504,10,36.04999999999999,40.02666666666668
Red_Grapes,160.0,65.90035768383312,8,,
Garlic_Green,152.0,117.35984548955973,10,68.63666666666667,31.143333333333327
Avocado,150.0,209.4967514996089,10,381.43,337.77333333333337
Apple,149.0,39.70726214015097,10,11.180000000000007,12.553333333333333
Onion_Green,123.0,66.17317348358691,10,54.10333333333333,25.87
Khasa_Garlic_Dry,107.0,90.55998625834211,10,45.72666666666666,61.116666666666674
French_Bean,102.0,22.01009869229224,10,5.046666666666667,6.826666666666661
Kurilo,100.0,0.0,8,,
Broccoli,98.88888888888889,64.89307444643929,9,,
Cow_Pea,97.0,41.10960958218893,10,26.413333333333338,28.929999999999993
Orange,96.66666666666667,63.245553203367585,10,46.383333333333326,32.54666666666666
Cucumber,95.0,19.436506316150993,10,19.98999999999999,24.09333333333333
Lemon,94.0,75.45418035691152,10,134.30666666666667,105.7
Dragon_Fruits,90.0,39.44053188733078,10,51.29333333333335,77.84999999999998
Mango,88.0,63.38594306135847,10,148.87666666666667,179.52333333333334
Strawberry,86.66666666666667,71.18052168020874,6,,
Cauliflower_Hill,84.5,24.08895551446301,10,14.949999999999998,13.533333333333333
Mushroom,84.0,24.585451886114367,10,85.33333333333333,34.81333333333333
Apple_Fuji,80.0,52.91502622129181,7,,
Cress_Leaf,80.0,56.568542494923804,9,,
Pomegranate,77.77777777777777,26.352313834736496,10,13.826666666666673,24.969999999999988
Chilly_Green,74.0,21.70509412813294,10,14.216666666666669,15.530000000000001
Soya_Bean_Green,72.5,20.615528128088304,4,,
Smooth_Gourd,72.0,26.583202716502512,10,40.723333333333336,45.073333333333345
Bitter_Gourd,71.5,30.00462927246024,10,64.52,35.589999999999996
Rajma,71.42857142857143,28.535691936340257,9,,
Okara,71.0,28.06737924669451,10,41.22333333333333,37.806666666666665
Green_Peas,67.5,25.495097567963924,9,,
Tomato_Small,64.9,21.262643297577096,10,10.86333333333333,24.439999999999998
Pear_China,63.333333333333336,92.37604307034012,3,,
Sweet_Pepper,62.0,37.3571352696584,10,10.35,8.583333333333343
Broad_Leaf_Mustard,62.0,24.517567397911055,10,9.329999999999998,2.983333333333332
Spinach_Leaf,58.0,24.404006956964167,10,11.690000000000003,22.00333333333333
Sajiwan,57.77777777777778,28.62594006219611,9,,
Carrot,56.0,22.705848487901868,10,10.086666666666664,17.463333333333335
Pointed_Gourd,55.0,24.49489742783178,9,,
Garlic_Dry,55.0,44.609416046390926,8,,
Ginger,53.0,13.374935098492585,10,14.090000000000003,27.566666666666674
Squash,53.0,34.41575866437415,10,25.103333333333335,13.269999999999998
Banana_Green,52.4,26.994649675650745,10,22.480000000000008,21.75
Sword_Bean,50.0,28.284271247461902,7,,
Brinjal_Long,48.0,17.511900715418264,10,9.49,1.7133333333333312
Beat_Chukunder,46.0,12.649110640673518,10,1.0366666666666664,9.560000000000002
Pine_Apple,45.0,26.770630673681683,10,48.59333333333333,35.06333333333333
Guava,45.0,32.05897343611891,10,48.77333333333333,22.92333333333333
Bakula,45.0,19.148542155126762,4,,
Bottle_Gourd,45.0,20.68278940998476,10,25.320000000000004,13.693333333333328
Radish_Red,42.0,19.888578520235065,10,4.076666666666668,7.003333333333335
Barela,41.25,3.5355339059327373,9,,
Snake_Gourd,40.0,12.247448713915889,9,,
Fenugreek_Leaf,40.0,,8,,
Grapes,40.0,0.0,10,,
Banana,40.0,19.148542155126762,7,,
Cabbage,38.5,15.465014279549393,10,23.77,8.219999999999999
Amala,37.5,27.12405363721075,9,,
Radish_White,35.0,19.364916731037084,10,33.76333333333333,18.19333333333333
Pumpkin_Green,33.0,17.029386365926403,10,10.82333333333333,14.466666666666667
Brinjal_Gland,32.5,9.57427107756338,4,,
Tomato_Big,32.142857142857146,17.286107827082528,7,,
Pumpkin_Leaf,32.0,10.954451150103322,7,,
Papaya,28.0,22.80350850198276,10,24.013333333333332,27.13333333333333
Gundruk,25.0,46.29100498862757,9,,
Sponge_Gourd,22.5,12.583057392117917,5,,
Onion_Dry,22.4,7.748835037890821,10,13.233333333333333,7.873333333333335
Mombin,22.0,34.92849839314596,6,,
Sweet_Potato,21.25,8.345229603962801,8,,
Malta,21.0,11.972189997378647,10,35.38333333333335,57.04
Watermelon,20.5,13.834337312964756,10,33.919999999999995,20.59
Turnip,20.0,0.0,9,,
Orange_Sweet,20.0,0.0,10,9.543333333333331,9.103333333333333
Sugarcane,20.0,21.081851067789195,10,6.150000000000006,5.49666666666667
Yam,20.0,0.0,8,,
Christophine,19.0,12.866839377079188,10,12.406666666666666,7.0466666666666695
Arum,19.0,3.162277660168379,10,12.946666666666667,9.523333333333333
Bayar,18.333333333333332,4.0824829046386295,7,,
Pumpkin,15.0,8.498365855987974,10,20.266666666666662,19.183333333333334
Jack_Fruit,12.5,5.0,7,,
Coconut,12.0,4.216370213557839,10,3.173333333333337,18.26
Potato_W,10.714285714285714,6.074928962939559,7,,
Potato_R,10.666666666666666,3.774917217635375,9,,
Bambooshoot,10.0,0.0,7,,
Potato_Blue,10.0,0.0,6,,
Pear,10.0,0.0,9,,
Haluwabed,8.333333333333334,20.41241452319315,8,,
Sarifa,0.0,,4,,
Green_Ve,,,9,,
Mango_Green,,,1,,
Peanuts,,,2,,
Potato,,,1,,
Tomato,,,1,,
Walnut,,,1,,
